Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
1,650,0.9500000000000003,50,2.0,14.816406805472184
4,250,0.65,34,0.5,18.106130555846278
19,1000,1.3000000000000007,0,9.0,53.67603493870619
29,1000,1.0500000000000003,6,9.5,69.21325894764975
7,650,0.7500000000000001,38,17.5,21.149672968590217
7,250,0.9000000000000002,34,12.0,21.942968448413197
31,650,1.2500000000000004,4,15.5,61.12938052373504
62,250,0.65,50,10.5,50.444247716105764
7,650,1.3500000000000005,2,7.5,63.750718912453465
21,1000,1.3000000000000007,50,13.0,20.02764677927717
68,250,0.7500000000000001,12,6.5,39.15124317208856
20,250,0.9500000000000003,8,1.5,43.371957098242156
3,650,1.1000000000000005,44,17.5,12.18132694670885
59,1000,0.8000000000000002,6,0.5,71.18136306495029
60,250,1.0000000000000004,6,17.5,44.704653322321484
14,250,0.8000000000000002,42,1.5,26.961699544783496
20,1000,1.0000000000000004,66,9.0,30.516072154574697
19,250,0.8500000000000002,0,5.5,60.949088530296024
39,1000,0.8500000000000002,60,9.0,54.862208695015575
59,1000,1.2500000000000004,8,17.0,70.46326241186502
39,650,0.8500000000000002,22,17.0,41.519273425344096
12,1000,0.7000000000000001,34,9.5,17.41134261099196
2,250,0.6,66,5.5,24.62930303743174
6,1000,1.4000000000000008,64,13.0,13.751734981466697
64,250,1.1000000000000005,20,8.5,46.82821917894582
47,650,1.1000000000000005,28,9.5,53.795923084252
68,1000,1.0000000000000004,32,0.5,50.46751394080139
41,650,1.2000000000000006,16,18.0,31.568277106120128
16,650,1.0000000000000004,46,10.5,17.2113871760019
49,1000,1.4000000000000008,50,2.0,61.997660001075836
38,250,1.2500000000000004,60,14.0,39.55878638016958
42,650,0.8000000000000002,18,11.0,41.084133971465945
7,250,1.0500000000000003,16,15.0,9.845369779288752
38,1000,1.4000000000000008,30,2.0,39.94450487903719
58,650,1.3000000000000007,46,17.0,52.471179225577856
17,1000,1.0000000000000004,28,6.0,10.509704724196382
42,650,1.1000000000000005,54,0.5,42.14090866486273
55,250,1.1000000000000005,22,9.5,47.39892308293902
7,1000,1.4000000000000008,58,19.5,1.6234192217878558
46,1000,0.8000000000000002,42,20.0,50.50750881343872
63,250,1.3500000000000005,8,18.5,44.261701568327304
0,250,1.4000000000000008,12,7.5,39.481232918967144
44,650,0.8000000000000002,20,11.0,42.176290834088036
39,1000,1.3500000000000005,62,8.0,33.07517311231373
43,250,0.7500000000000001,64,15.0,56.74186649714433
50,650,0.9000000000000002,64,8.0,63.006126890807195
35,1000,1.3000000000000007,64,16.5,34.79591368122661
33,1000,1.1500000000000004,42,2.5,28.146741136077647
64,1000,0.6,14,15.5,49.87262858391264
17,250,0.8000000000000002,10,16.5,40.81747119290346
67,1000,1.3500000000000005,12,16.0,79.57170104842132
60,650,1.1500000000000004,38,5.0,51.20658303504416
13,1000,1.0500000000000003,24,17.0,19.279034243254067
3,650,0.7000000000000001,16,13.0,20.224465365769802
47,650,1.3500000000000005,28,13.5,54.89784453616904
42,250,0.7500000000000001,12,16.5,39.82170892942891
31,250,0.7500000000000001,14,9.5,41.09770018564903
26,1000,1.1000000000000005,24,14.0,37.13518101476042
37,650,0.9500000000000003,62,9.5,43.309596341717615
33,1000,0.7000000000000001,56,19.0,27.48913142833829
18,1000,1.3000000000000007,32,7.0,8.384949673720506
68,650,1.0500000000000003,60,9.0,56.74488141058151
37,650,0.8500000000000002,24,6.0,43.75258838984546
14,250,0.6,52,10.0,22.85386346078953
1,650,1.2500000000000004,30,14.0,10.763990674836982
9,650,1.1000000000000005,52,9.0,14.228676686105658
13,1000,1.3000000000000007,8,9.0,66.88173811879525
26,1000,1.2500000000000004,4,6.0,68.85411667011437
44,650,0.7500000000000001,0,2.5,62.36942988508346
35,1000,0.9500000000000003,52,16.0,35.86376727177357
53,650,0.9000000000000002,6,20.0,63.63664102704469
36,250,1.1500000000000004,0,3.0,62.47046238060129
64,250,1.1500000000000004,58,4.0,55.82396623680653
56,1000,0.8500000000000002,34,18.5,47.47913712832131
13,1000,1.3000000000000007,46,15.5,13.539564104278533
41,250,0.7000000000000001,10,4.0,42.723434956751575
27,250,1.4000000000000008,10,4.5,42.58857788479726
38,650,1.3000000000000007,8,4.0,61.16864705260432
67,650,0.9500000000000003,64,10.5,57.226398589676506
10,1000,1.1000000000000005,12,13.5,70.46913300958497
26,650,1.3000000000000007,36,9.0,32.01625879799698
32,250,1.1500000000000004,44,15.0,35.332974108142096
47,1000,0.7000000000000001,18,8.5,39.84614954608304
18,250,1.4000000000000008,12,5.0,39.57150433397281
